year,total_count,total_duration,talk_count,talk_duration,keynote_count,keynote_duration,lightning_count,lightning_duration,report_count,report_duration,ama_count,ama_duration,bof_count,bof_duration,panel_count,panel_duration,poster_count,poster_duration,binkley_count,binkley_duration,female_count,female_duration,male_count,male_duration,andy_count,andy_duration
1996,15,935.0,,,,,,,,,,,,,,,,,,,6,128.75,29,741.25,3,65.0
1998,22,1140.0,20,1020.0,1,60.0,,,,,,,,,1,60.0,,,,,7,170.0,27,970.0,,
1999,27,1210.0,25,1040.0,1,45.0,,,,,,,,,1,125.0,,,,,6,142.5,29,1067.5,,
2000,23,1095.0,23,1095.0,,,,,,,,,,,,,,,,,6,247.5,21,847.5,,
2001,26,1215.0,23,1050.0,,,,,,,,,2,120.0,1,45.0,,,,,3,135.0,22,892.5,1,22.5
2002,23,1125.0,23,1125.0,,,,,,,,,,,,,,,,,8,232.5,23,892.5,,
2003,20,1035.0,16,765.0,1,60.0,,,1,45.0,,,1,75.0,1,90.0,,,,,5,135.0,23,765.0,1,60.0
2004,20,945.0,16,735.0,2,120.0,,,1,45.0,,,1,45.0,,,,,,,4,180.0,19,720.0,,
2005,22,1080.0,15,705.0,3,195.0,,,2,60.0,,,1,45.0,1,75.0,,,1,45.0,2,67.5,20,832.5,,
2006,27,1035.0,11,405.0,4,180.0,7,120.0,1,90.0,,,1,45.0,2,150.0,,,1,45.0,9,277.5,24,652.5,,
2007,21,1050.0,14,720.0,2,120.0,1,45.0,2,60.0,,,1,45.0,1,60.0,,,1,45.0,6,232.5,20,667.5,,
2008,20,1005.0,14,735.0,2,120.0,,,2,60.0,,,1,45.0,,,,,1,45.0,9,241.5,18,613.5,,
2009,20,838.0,18,718.0,2,120.0,,,,,,,,,,,,,1,45.0,4,202.0,16,636.0,,
2010,19,975.0,17,855.0,2,120.0,,,,,,,,,,,,,,,8,225.0,22,725.0,2,25.0
2011,15,675.0,9,390.0,2,120.0,,,,,1,30.0,,,3,135.0,,,1,60.0,9,210.0,22,465.0,,
2012,23,885.0,13,625.0,2,120.0,5,75.0,2,40.0,1,25.0,,,,,,,1,60.0,8,262.5,18,557.5,,
2013,25,825.0,12,360.0,3,180.0,7,165.0,1,30.0,1,30.0,,,1,60.0,,,1,60.0,8,172.5,28,592.5,,
2014,20,700.0,8,280.0,2,120.0,7,120.0,,,,,,,2,120.0,1,60.0,1,60.0,16,279.5,20,360.5,,
2015,22,670.0,14,400.0,2,120.0,4,45.0,,,,,,,2,105.0,,,1,60.0,23,424.25,17,245.75,,
2016,27,886.0,13,505.0,2,120.0,9,141.0,1,30.0,,,,,2,90.0,,,1,60.0,16,278.5,21,577.5,,
2017,29,500.0,17,320.0,2,120.0,10,60.0,,,,,,,,,,,1,60.0,17,277.33333333333337,21,222.66666666666669,,
2018,24,550.0,17,340.0,2,120.0,4,60.0,,,,,,,1,30.0,,,1,60.0,20,385.0,12,165.0,,
2019,28,615.0,16,330.0,2,135.0,9,90.0,,,,,,,1,60.0,,,1,60.0,22,291.6666666666667,16,323.3333333333333,,
